Date,Number of Contacts,Source,Year,Month
01/03/2018,67455,Melbourne Visitor Centre,2018,March
01/09/2015,248,Melbourne Greeter Service,2015,September
01/03/2017,21920,Fitzroy Gardens Visitor Centre,2017,March
01/08/2018,3909,Cooks' Cottage,2018,August
01/02/2017,6264,Cooks' Cottage,2017,February
01/01/2016,5590,Melbourne Visitor Shuttle,2016,January
01/08/2017,17132,Melbourne Visitor Booth,2017,August
01/01/2015,6434,Cooks' Cottage,2015,January
01/06/2015,195,Melbourne Greeter Service,2015,June
01/03/2015,22165,Fitzroy Gardens Visitor Centre,2015,March
01/11/2018,21528,Melbourne Visitor Hub at Town Hall,2018,November
01/08/2017,4932,Cooks' Cottage,2017,August
01/04/2015,31299,Melbourne Visitor Booth,2015,April
01/07/2014,73697,Melbourne Visitor Centre,2014,July
01/07/2014,13542,Melbourne Visitor Shuttle,2014,July
01/11/2016,25447,City Ambassador Program,2016,November
01/10/2016,6083,Cooks' Cottage,2016,October
01/10/2017,22895,Fitzroy Gardens Visitor Centre,2017,October
01/01/2018,5493,Cruise Ship Program,2018,January
01/03/2017,71351,Melbourne Visitor Centre,2017,March
01/02/2017,23283,Melbourne Visitor Booth,2017,February
01/11/2016,3862,Melbourne Visitor Shuttle,2016,November
01/09/2015,62978,Melbourne Visitor Centre,2015,September
01/11/2018,19041,Fitzroy Gardens Visitor Centre,2018,November
01/04/2016,231,Melbourne Greeter Service,2016,April
01/09/2018,18500,City Ambassador Program,2018,September
01/07/2015,7788,Melbourne Visitor Shuttle,2015,July
01/08/2017,24328,Fitzroy Gardens Visitor Centre,2017,August
01/04/2015,237,Melbourne Greeter Service,2015,April
01/02/2015,7869,Melbourne Visitor Shuttle,2015,February
01/08/2014,5780,Cooks' Cottage,2014,August
01/04/2017,7682,Cooks' Cottage,2017,April
01/07/2018,0,Cruise Ship Program,2018,July
01/06/2017,18933,Fitzroy Gardens Visitor Centre,2017,June
01/07/2015,33009,Melbourne Visitor Booth,2015,July
01/06/2015,5265,Cooks' Cottage,2015,June
01/12/2015,1353,Cruise Ship Program,2015,December
01/09/2014,138,Inbox email Inquiries,2014,September
01/09/2014,5636,Cooks' Cottage,2014,September
01/03/2016,25536,Melbourne Visitor Booth,2016,March
01/06/2015,23527,City Ambassador Program,2015,June
01/07/2016,129,Inbox email enquiries,2016,July
01/11/2015,30046,Melbourne Visitor Booth,2015,November
01/10/2017,59646,Melbourne Visitor Centre,2017,October
01/08/2015,6138,Melbourne Visitor Shuttle,2015,August
01/01/2018,23534,Melbourne Visitor Booth,2018,January
01/12/2014,41773,Melbourne Visitor Booth,2014,December
01/08/2017,17706,City Ambassador Program,2017,August
01/08/2014,62618,Melbourne Visitor Centre,2014,August
01/11/2018,24303,City Ambassador Program,2018,November
01/10/2015,28922,Melbourne Visitor Booth,2015,October
01/03/2016,7860,Cooks' Cottage,2016,March
01/10/2016,24069,Melbourne Visitor Booth,2016,October
01/11/2018,7447,Cruise Ship Program,2018,November
01/02/2015,261,Melbourne Greeter Service,2015,February
01/08/2018,5448,Melbourne Visitor Hub at Town Hall,2018,August
01/02/2016,29540,City Ambassador Program,2016,February
01/04/2017,198,Melbourne Greeter Service,2017,April
01/06/2017,43172,Melbourne Visitor Centre,2017,June
01/07/2015,24081,Fitzroy Gardens Visitor Centre,2015,July
01/11/2015,20727,Fitzroy Gardens Visitor Centre,2015,November
01/08/2017,1604,Melbourne Visitor Shuttle,2017,August
01/07/2014,28897,City Ambassador Program,2014,July
01/05/2015,107,Inbox email Inquiries,2015,May
01/12/2016,28286,City Ambassador Program,2016,December
01/12/2014,25392,City Ambassador Program,2014,December
01/12/2016,21114,Fitzroy Gardens Visitor Centre,2016,December
01/10/2014,32390,Melbourne Visitor Booth,2014,October
01/12/2017,4971,Cooks' Cottage,2017,December
01/09/2015,153,Inbox email Inquiries,2015,September
01/04/2016,26614,Melbourne Visitor Booth,2016,April
01/10/2015,4140,Melbourne Visitor Shuttle,2015,October
01/04/2017,3320,Melbourne Visitor Shuttle,2017,April
01/03/2016,143,Inbox email enquiries,2016,March
01/07/2018,45495,Melbourne Visitor Centre,2018,July
01/12/2016,6171,Cruise Ship Program,2016,December
01/06/2016,0,Cruise Ship Program,2016,June
01/07/2017,0,Cruise Ship Program,2017,July
01/01/2015,148,Inbox email Inquiries,2015,January
01/03/2016,267,Melbourne Greeter Service,2016,March
