Sensor_ID,Year,Month,Hourly_Counts,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
1,2017,November,1376.2458333333334,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,October,1296.8775235531627,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2017,September,1302.4166666666667,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,April,1337.3583333333333,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,August,1341.0819892473119,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,December,1542.4126344086021,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,February,1351.2738095238096,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,January,1199.002688172043,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,July,1415.138440860215,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,June,1364.2597222222223,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,March,1403.5658602150538,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,May,1310.9422043010752,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,November,1439.1138888888888,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,October,1363.470430107527,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2018,September,1325.8208333333334,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2019,April,1397.0194444444444,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2019,August,1343.059294871795,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2019,December,1602.7728494623657,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2019,February,1311.4732142857142,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2019,January,1210.973611111111,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2019,July,1203.5497311827958,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
