Description,Co-ordinates,lat,lon
Drinking fountain - Historic or Heritage Drinking Fountains - Liddy Street Reserve (KENSINGTON),"(-37.79009686226306, 144.9257559567742)",-37.79009686226306,144.9257559567742
Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,"(-37.7981300933256, 144.9217175971122)",-37.7981300933256,144.9217175971122
Drinking fountain - unspecified type - Fawkner Park,"(-37.84105383065132, 144.98474159117376)",-37.84105383065132,144.98474159117376
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80899368753833, 144.9728686722591)",-37.80899368753833,144.9728686722591
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81261776692698, 144.9683505786709)",-37.81261776692698,144.9683505786709
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.80626983275522, 144.95806339729006)",-37.80626983275522,144.95806339729006
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81812625933699, 144.9458429589375)",-37.81812625933699,144.9458429589375
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81243580767888, 144.97368439844223)",-37.81243580767888,144.97368439844223
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,"(-37.83912302483119, 144.98029597307354)",-37.83912302483119,144.98029597307354
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.80696316737549, 144.97097533310074)",-37.80696316737549,144.97097533310074
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82006369883412, 144.94335006764553)",-37.82006369883412,144.94335006764553
Drinking Fountain - Leaf Type - Dog Bowl - Fawkner Park,"(-37.843405472059246, 144.9823703451879)",-37.843405472059246,144.9823703451879
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82416129460037, 144.94386411864073)",-37.82416129460037,144.94386411864073
Drinking Fountain - Leaf Type - Dog Bowl  - Fitzroy Gardens,"(-37.81047413141583, 144.98106657764444)",-37.81047413141583,144.98106657764444
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,"(-37.81426414724787, 144.97865144245154)",-37.81426414724787,144.97865144245154
Drinking Fountain - Old Style Steel Drinking Fountain,"(-37.816927072109706, 144.9837045105586)",-37.816927072109706,144.9837045105586
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.811184402608355, 144.9751861982011)",-37.811184402608355,144.9751861982011
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81437973339851, 144.97601583515225)",-37.81437973339851,144.97601583515225
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Birrarung Marr,"(-37.81877097793573, 144.97408155357158)",-37.81877097793573,144.97408155357158
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.80725891583743, 144.94696422855037)",-37.80725891583743,144.94696422855037
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81942840031672, 144.94578822758686)",-37.81942840031672,144.94578822758686
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81678974689995, 144.96933696934119)",-37.81678974689995,144.96933696934119
Drinking Fountain - Drinking Fountain - Type 1,"(-37.79735380762625, 144.95284368062156)",-37.79735380762625,144.95284368062156
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811816918335545, 144.9647358013035)",-37.811816918335545,144.9647358013035
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Park,"(-37.82760195838954, 144.9819469602272)",-37.82760195838954,144.9819469602272
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,"(-37.829394894475676, 144.97402641133465)",-37.829394894475676,144.97402641133465
Drinking Fountain - Drinking Fountain - Type 1,"(-37.789426340332234, 144.92521601291634)",-37.789426340332234,144.92521601291634
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81818027452629, 144.97128244641144)",-37.81818027452629,144.97128244641144
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.812710697465654, 144.96535589295792)",-37.812710697465654,144.96535589295792
Drinking Fountain - Leaf Type - Dog Bowl  - Neill Street Reserve,"(-37.79583501177402, 144.96807205336754)",-37.79583501177402,144.96807205336754
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.82093618828216, 144.94302877180849)",-37.82093618828216,144.94302877180849
Drinking Fountain - Drinking Fountain - Type 1,"(-37.813703464993914, 144.96524821218875)",-37.813703464993914,144.96524821218875
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.816008130348806, 144.94552203541383)",-37.816008130348806,144.94552203541383
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.807299202453336, 144.9638063589646)",-37.807299202453336,144.9638063589646
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81775113289117, 144.9668727624917)",-37.81775113289117,144.9668727624917
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,"(-37.78516928275589, 144.9629960270774)",-37.78516928275589,144.9629960270774
Drinking Fountain - Drinking Fountain - Monument Style Type 3,"(-37.808763201408944, 144.9755999159518)",-37.808763201408944,144.9755999159518
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81370900165242, 144.96521920731234)",-37.81370900165242,144.96521920731234
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811005097961136, 144.95862163735288)",-37.811005097961136,144.95862163735288
